Riding No.,Riding Name,Political Affiliation,Last Name,First Name,Middle Name
24022,Bonaventure--Gaspé--Îles-de-la-Madeleine--Pabok,Bloc Québécois,Blais,Raynald,
24022,Bonaventure--Gaspé--Îles-de-la-Madeleine--Pabok,Liberal,Farrah,Georges,
24022,Bonaventure--Gaspé--Îles-de-la-Madeleine--Pabok,Canadian Alliance,Fournier,Linda,
24022,Bonaventure--Gaspé--Îles-de-la-Madeleine--Pabok,N.D.P.,Kraenzel,Fred,
24023,Gatineau,Liberal,Assad,Mark,
24023,Gatineau,Independent,Bélanger,Ronald,
24023,Gatineau,Canadian Alliance,Crowley,Stéphany,
24023,Gatineau,No Affiliation,Demers,Samantha,
24023,Gatineau,N.D.P.,Hétu,Carl,
24023,Gatineau,Bloc Québécois,Nadeau,Richard,
24023,Gatineau,Natural Law Party,Pommet,Jean-Claude,
24023,Gatineau,Marxist-Leninist,Roy,Françoise,
24023,Gatineau,Progressive Conservative,Vasseur,Michael,F.
24024,Hochelaga--Maisonneuve,Communist,Bibeau,Pierre,
24024,Hochelaga--Maisonneuve,Marxist-Leninist,Dandenault,Christine,
24024,Hochelaga--Maisonneuve,Progressive Conservative,Harbec,Benoit,
24024,Hochelaga--Maisonneuve,N.D.P.,Mirich,Milan,
24024,Hochelaga--Maisonneuve,Liberal,Morena,Louis,
24024,Hochelaga--Maisonneuve,Canadian Alliance,Morency,Stephanie,
24024,Hochelaga--Maisonneuve,Bloc Québécois,Ménard,Réal,
24024,Hochelaga--Maisonneuve,Marijuana Party,Néron,Alex,
24025,Hull--Aylmer,Natural Law Party,Bouchard,Rita,
24025,Hull--Aylmer,Canadian Action Party,Brooks,Robert,
24025,Hull--Aylmer,Bloc Québécois,Brouard,Caroline,
24025,Hull--Aylmer,Progressive Conservative,Dufort,Guy,
24025,Hull--Aylmer,Canadian Alliance,Geisterfer,Michel,
24025,Hull--Aylmer,No Affiliation,Gray,Ron
24025,Hull--Aylmer,Marxist-Leninist,Legeais,Alexandre
24025,Hull--Aylmer,Marijuana Party,Martins,Aubert
24025,Hull--Aylmer,N.D.P.,Piening,Peter
24025,Hull--Aylmer,Liberal,Proulx,Marcel
24026,Joliette,Communist,Aubin,Bob
24026,Joliette,Progressive Conservative,Champagne,Eric
24026,Joliette,Canadian Alliance,Lévesque,Clément
24026,Joliette,Liberal,Malo,Robert
24026,Joliette,Bloc Québécois,Paquette,Pierre
24026,Joliette,N.D.P.,Rivest,François
24027,Jonquière,Liberal,Boily,Jean-Guy
24027,Jonquière,N.D.P.,Deraiche,Michel
24027,Jonquière,Bloc Québécois,Girard-Bujold,Jocelyne
24027,Jonquière,Canadian Alliance,Néron,Sylvain
24028,Kamouraska-Rivière-du-Loup-Témiscouata-Les Basques,Bloc Québécois,Crête,Paul
24028,Kamouraska-Rivière-du-Loup-Témiscouata-Les Basques,N.D.P.,Côté,Elaine
24028,Kamouraska-Rivière-du-Loup-Témiscouata-Les Basques,Marxist-Leninist,Fournier,Normand
24028,Kamouraska-Rivière-du-Loup-Témiscouata-Les Basques,Liberal,Ouellet,Helen
24028,Kamouraska-Rivière-du-Loup-Témiscouata-Les Basques,Progressive Conservative,Paquet,André
24028,Kamouraska-Rivière-du-Loup-Témiscouata-Les Basques,Canadian Alliance,Théberge,René
24029,Notre-Dame-de-Grâce--Lachine,Canadian Alliance,Etcovitch,Darrin
24029,Notre-Dame-de-Grâce--Lachine,Marijuana Party,Faber,Grégoire
24029,Notre-Dame-de-Grâce--Lachine,Green Party,Graham,Katie
24029,Notre-Dame-de-Grâce--Lachine,Marxist-Leninist,Hoffman,Rachel
24029,Notre-Dame-de-Grâce--Lachine,Liberal,Jennings,Marlene
24029,Notre-Dame-de-Grâce--Lachine,Progressive Conservative,Megyery,Kathy
24029,Notre-Dame-de-Grâce--Lachine,Bloc Québécois,Ouellet,Jeannine
24029,Notre-Dame-de-Grâce--Lachine,N.D.P.,Toombs,Bruce
24029,Notre-Dame-de-Grâce--Lachine,Natural Law Party,Wilson,Michael
24030,Lac-Saint-Jean--Saguenay,Canadian Alliance,Caron,Yannick
24030,Lac-Saint-Jean--Saguenay,Progressive Conservative,Gagnon,Claude
24030,Lac-Saint-Jean--Saguenay,Independent,Lavoie,Gilles,
24030,Lac-Saint-Jean--Saguenay,N.D.P.,Proulx,Linda,
24030,Lac-Saint-Jean--Saguenay,Liberal,Tremblay,Jérôme,
24030,Lac-Saint-Jean--Saguenay,Bloc Québécois,Tremblay,Stéphan,
24031,Lac-Saint-Louis,Bloc Québécois,Amyot,Guy,
24031,Lac-Saint-Louis,Marxist-Leninist,Colly,Garnet,
24031,Lac-Saint-Louis,Progressive Conservative,Gendron,Daniel,
24031,Lac-Saint-Louis,Liberal,Lincoln,Clifford,
24031,Lac-Saint-Louis,Canadian Alliance,Shaw,William,F.
24031,Lac-Saint-Louis,N.D.P.,Sikora,Erin,
24031,Lac-Saint-Louis,Marijuana Party,d'Apollonia,Elena,
24032,LaSalle--Émard,N.D.P.,Bernans,David,
24032,LaSalle--Émard,Natural Law Party,Bigras,Gilles,
24032,LaSalle--Émard,Canadian Alliance,De Santis,Giuseppe,Joe
24032,LaSalle--Émard,Bloc Québécois,Martel,Denis,
24032,LaSalle--Émard,Liberal,Martin,Paul,
24032,LaSalle--Émard,Progressive Conservative,Massand,Deepak,T.
24032,LaSalle--Émard,Communist,Ortiz,Irma,
