This file contains the  votes from the 
WD Smith, JN Quintal, D Greene 
Range- and Approval-voting presidential
pseudo-elections of 2 Nov 2004.

We now explain the data format.

RANGE VOTING (Smith 68 from Port Jefferson Station & East Setauket NY 
         and Greene 54 from Cedarhurst NY):

Each line represents a single vote and is of the 8-entry form
(7 numerical entries and one character-entry):

Bu Ke Na Ba Co Pe Ca YNX

where 
Bu=vote for Bush     (0-100;  and  -1 represents "left it blank")
Ke=vote for Kerry    (0-100;  and  -1 represents "left it blank")
Na=vote for Nader    (0-100;  and  -1 represents "left it blank")
Co=vote for Cobb     (0-100;  and  -1 represents "left it blank")
Pe=vote for Peroutka (0-100;  and  -1 represents "left it blank")
Ca=vote for Calero   (0-100;  and  -1 represents "left it blank")
YNX=one of the three characters {Y,N,X} to indicate that range voting is
respectively  better, worse, or don't know than the present plurality system.

APPROVAL VOTING  (Quintal 656 from Philadelphia PA suburbs mostly in Delaware County):
Same format as range, except for the following changes:
0 100 0 0 0 0 242 X
100 0 0 0 0 0 243 X
100 0 0 0 0 0 244 X
100 0 0 0 0 0 245 X
0 100 0 0 0 0 246 X
0 100 -1 0 0 0 247 X
0 100 0 0 0 0 248 X
0 100 0 0 0 0 249 X
0 100 0 0 0 0 250 X
-1 -1 0 -1 -1 -1 251 X
0 100 0 0 0 0 252 X
0 100 0 0 0 0 253 X
0 100 0 0 0 0 254 X
100 0 0 0 0 0 255 X
100 0 0 0 0 0 256 X
100 0 0 0 0 0 257 X
0 100 0 0 0 0 258 X
0 100 0 0 0 0 259 X
0 100 0 0 0 0 260 X
0 100 0 0 0 0 261 X
0 100 0 0 0 0 262 X
0 100 0 0 0 0 263 X
0 100 0 0 0 0 264 X
100 0 0 0 0 0 265 X
0 100 0 0 0 0 266 X
0 100 -1 0 0 0 267 X
-1 -1 0 -1 -1 -1 268 X
100 0 0 0 0 0 269 X
100 0 0 0 0 0 270 X
100 0 0 0 0 0 271 X
0 100 0 0 0 0 272 X
0 100 0 0 0 0 273 X
0 100 0 0 0 0 274 X
0 100 0 0 0 0 275 X
0 100 -1 0 0 0 276 X
0 100 -1 0 0 0 277 X
0 100 -1 0 0 0 278 X
0 100 0 0 0 0 279 X
0 100 0 0 0 0 280 X
0 100 0 0 0 0 281 X
0 100 -1 0 0 0 282 X
100 0 0 0 0 0 283 X
100 0 0 0 0 0 284 X
-1 -1 0 -1 -1 -1 285 X
100 0 0 0 0 0 286 X
0 100 -1 0 0 0 287 X
0 100 -1 0 0 0 288 X
0 100 -1 0 0 0 289 X
0 100 0 0 0 0 290 X
0 100 0 0 0 0 291 X
0 100 0 0 0 0 292 X
0 100 0 0 0 0 293 X
100 0 -1 0 0 0 294 X
100 0 -1 0 0 0 295 X
100 0 -1 0 0 0 296 X
0 100 -1 0 0 0 297 X
0 100 -1 0 0 0 298 X
0 100 0 0 0 0 299 X
0 100 0 0 0 0 300 X
100 0 0 0 0 0 301 X
0 100 0 0 0 0 302 X
0 100 -1 0 0 0 303 X
100 0 0 0 0 0 304 X
0 100 0 0 0 0 305 X
100 0 0 0 0 0 306 X
0 100 0 0 0 0 307 X
100 0 0 0 0 0 308 X
100 0 0 0 0 0 309 X
100 0 0 0 0 0 310 X
100 0 0 0 0 0 311 X
